Students age,Gender,Relationship status,Department,Type of University,Father's education,Mother's education,Father's Occupation,Mother's Occupation,Family Income(monthly),Number of Siblings,Parental status,Previous School Location,Previous College Location,SSC result,HSC result,Scholarship in SSC,Scholarship in HSC,Accommodation,Weekly Study Time at home,Reading Scientific books/articles/journals,Reading Non-Scientific books/articles/journals,Attendance in class,Mid-Term Exam Preparation,Taking Exam Preparation,Taking Class Note,Any Co-curricular activity,Attend any Seminar related to department,Any part-time job,Smoking,Sports/ Exercise,Undergraduate 1st semester result (CGPA/GPA out of 4)
21-23 years,Female,In a love relationship,CSE,Private,College,Secondary School,Retired,Housewife,"26,000-40,000TK",3 or above,Died-one of them or both,Urban,Urban,GPA 5.00,GPA 5.00,Yes,No,Rental,11-14 Hour,No,Yes,More than 80%class,Group study,Regular study during the semester,Sometimes,Yes,Yes,Not Applicable,No,Never,3.50 - 3.74
21-23 years,Male,Single,Criminology ,Public,College,Secondary School,Business,Housewife,"26,000-40,000TK",No Siblings,Happily Married,Country Town,Country Town,GPA 5.00,GPA 4.00 - 4.99,No,No,University Hall,2-5 Hour,No,No,More than 80%class,Alone,Close date to exam,Sometimes,No,Yes,Tution,Yes,Sometimes,3.00 - 3.24
24-26 years,Male,In a love relationship,Film & Media,Public,B.A./B.Sc./Hons/Degree,College,Private Job,Housewife,41000-55000TK,1,Happily Married,Urban,Urban,GPA 5.00,GPA 4.00 - 4.99,No,No,Rental,Less than 1 Hour,No,Yes,60%-79% classes,Group study,Close date to exam,Never,Yes,Yes,Others,Yes,Never,2.75 - 2.99
21-23 years,Female,In a love relationship,Social Science ,Others,College,Secondary School,Business,Housewife,">60,000",1,Happily Married,Urban,Urban,GPA 5.00,GPA 4.00 - 4.99,No,No,With family,6-10Hour,No,Yes,Less than 60% classes,Alone,Regular study during the semester,Sometimes,No,No,Not Applicable,No,Never,3.00 - 3.24
24-26 years,Male,Single,Hospitality & Tourism Management ,Private,Secondary School,Secondary School,Self-employed,Housewife,41000-55000TK,1,Died-one of them or both,Urban,Urban,GPA 5.00,GPA 4.00 - 4.99,No,No,University Hall,Less than 1 Hour,No,No,60%-79% classes,Alone,Close date to exam,Never,Yes,Yes,Business,No,Never,3.00 - 3.24
24-26 years,Male,Single,Criminology ,Public,College,Secondary School,Business,Housewife,"26,000-40,000TK",3 or above,Happily Married,Urban,Urban,GPA 5.00,GPA 3.00 - 3.99,No,No,University Hall,2-5 Hour,No,No,More than 80%class,Group study,Close date to exam,Never,Yes,No,Business,Yes,Never,3.00 - 3.24
24-26 years,Female,In a love relationship,Film & Media,Public,B.A./B.Sc./Hons/Degree,B.A./B.Sc./Hons/Degree,Private Job,Housewife,">60,000",1,Happily Married,Urban,Urban,GPA 5.00,GPA 4.00 - 4.99,No,No,Rental,2-5 Hour,No,Yes,More than 80%class,Group study,Close date to exam,Sometimes,Yes,Yes,Not Applicable,No,Never,3.25 - 3.49
24-26 years,Male,Single,CSE,Private,College,Primary School,Retired,Housewife,"26,000-40,000TK",2,Died-one of them or both,Urban,Urban,GPA 4.00 - 4.99,GPA 4.00 - 4.99,No,No,Rental,6-10Hour,Yes,Yes,More than 80%class,Alone,Close date to exam,Never,No,Yes,Not Applicable,No,Never,3.25 - 3.49
24-26 years,Male,Single,Statistics ,Public,B.A./B.Sc./Hons/Degree,Secondary School,Govt. Service,Housewife,">60,000",No Siblings,Happily Married,Urban,Urban,GPA 5.00,GPA 5.00,No,No,With family,6-10Hour,No,No,More than 80%class,Alone,Regular study during the semester,Always,No,No,Not Applicable,No,Never,3.25 - 3.49
21-23 years,Male,Single,Civil Engineering ,Others,Primary School,Primary School,Self-employed,Housewife,"<25,000Tk",2,Happily Married,Rural,Urban,GPA 4.00 - 4.99,GPA 3.00 - 3.99,No,No,Rental,6-10Hour,No,No,More than 80%class,Group study,Regular study during the semester,Sometimes,Yes,Yes,Tution,No,Sometimes,3.00 - 3.24
21-23 years,Male,Single,CSE,Public,College,Primary School,Retired,Housewife,"26,000-40,000TK",2,Happily Married,Urban,Urban,GPA 5.00,GPA 4.00 - 4.99,Yes,No,University Hall,11-14 Hour,Yes,No,More than 80%class,Alone,Regular study during the semester,Always,Yes,Yes,Not Applicable,No,Never,3.75 - 4.00
21-23 years,Male,Single,Chemistry,Public,College,College,Business,Housewife,"26,000-40,000TK",1,Happily Married,Rural,Rural,GPA 5.00,GPA 3.00 - 3.99,No,No,University Hall,6-10Hour,Yes,No,More than 80%class,Group study,Close date to exam,Sometimes,Yes,Yes,Tution,No,Sometimes,3.25 - 3.49
24-26 years,Female,In a love relationship,Cse,Public,B.A./B.Sc./Hons/Degree,College,Private Job,Housewife,41000-55000TK,1,Happily Married,Urban,Urban,GPA 5.00,GPA 5.00,Yes,No,With family,6-10Hour,Yes,Yes,More than 80%class,Alone,Regular study during the semester,Always,No,Yes,Not Applicable,No,Never,3.50 - 3.74
21-23 years,Male,In a love relationship,Education & Research,Public,B.A./B.Sc./Hons/Degree,College,Govt. Service,Housewife,41000-55000TK,1,Happily Married,Urban,Urban,GPA 5.00,GPA 5.00,No,No,University Hall,2-5 Hour,No,Yes,More than 80%class,Group study,Close date to exam,Sometimes,Yes,Yes,Tution,Yes,Never,3.50 - 3.74
24-26 years,Male,Single,EEE,Private,Primary School,Primary School,Self-employed,Housewife,"26,000-40,000TK",2,Happily Married,Rural,Rural,GPA 4.00 - 4.99,GPA 4.00 - 4.99,No,No,Rental,More than 15 Hour,Yes,No,More than 80%class,Alone,Close date to exam,Sometimes,No,Yes,Not Applicable,No,Always,3.75 - 4.00
21-23 years,Female,Single,Botany,Others,B.A./B.Sc./Hons/Degree,Secondary School,Govt. Service,Housewife,"<25,000Tk",3 or above,Happily Married,Country Town,Country Town,GPA 5.00,GPA 4.00 - 4.99,No,No,With family,6-10Hour,Yes,Yes,Less than 60% classes,Alone,Close date to exam,Never,Yes,No,Not Applicable,No,Never,Less than 2.50
21-23 years,Female,Single,ICT,Public,College,College,Business,Housewife,">60,000",3 or above,Happily Married,Country Town,Country Town,GPA 5.00,GPA 4.00 - 4.99,No,No,University Hall,11-14 Hour,Yes,Yes,More than 80%class,Alone,Regular study during the semester,Always,Yes,No,Tution,No,Sometimes,3.75 - 4.00
21-23 years,Female,Single,Math,Others,B.A./B.Sc./Hons/Degree,College,Business,Housewife,41000-55000TK,3 or above,Happily Married,Country Town,Country Town,GPA 5.00,GPA 4.00 - 4.99,No,No,With family,6-10Hour,No,Yes,Less than 60% classes,Not applicable,Close date to exam,Sometimes,No,No,Not Applicable,No,Sometimes,3.00 - 3.24
21-23 years,Male,Single,CSE,Private,Primary School,Primary School,Business,Housewife,41000-55000TK,2,Died-one of them or both,Urban,Country Town,GPA 4.00 - 4.99,GPA 3.00 - 3.99,No,No,Rental,Less than 1 Hour,No,No,60%-79% classes,Alone,Close date to exam,Never,Yes,No,Not Applicable,No,Never,Less than 2.50
24-26 years,Male,In a love relationship,Management ,Others,B.A./B.Sc./Hons/Degree,Secondary School,Private Job,Private Job,41000-55000TK,2,Happily Married,Urban,Country Town,GPA 5.00,GPA 4.00 - 4.99,Yes,No,Rental,6-10Hour,No,Yes,60%-79% classes,Alone,Close date to exam,Sometimes,Yes,No,Tution,No,Sometimes,3.00 - 3.24
24-26 years,Male,Single,BBA,Public,B.A./B.Sc./Hons/Degree,Secondary School,Govt. Service,Housewife,"26,000-40,000TK",3 or above,Happily Married,Urban,Country Town,GPA 4.00 - 4.99,GPA 4.00 - 4.99,No,No,University Hall,2-5 Hour,No,No,60%-79% classes,Alone,Close date to exam,Sometimes,No,No,Not Applicable,No,Sometimes,2.75 - 2.99
24-26 years,Female,Single,Bangla,Others,Secondary School,Primary School,Business,Housewife,">60,000",1,Happily Married,Rural,Urban,GPA 3.00 - 3.99,GPA 3.00 - 3.99,No,No,With family,6-10Hour,No,No,Less than 60% classes,Alone,Close date to exam,Never,No,No,Not Applicable,No,Never,Less than 2.50
24-26 years,Male,In a love relationship,Textile,Private,Secondary School,Primary School,Business,Housewife,"56000-60,000",2,Happily Married,Rural,Urban,GPA 4.00 - 4.99,GPA 4.00 - 4.99,No,No,Rental,2-5 Hour,No,Yes,60%-79% classes,Alone,Close date to exam,Never,No,No,Not Applicable,Yes,Sometimes,Less than 2.50
24-26 years,Male,Single,CSE,Public,B.A./B.Sc./Hons/Degree,College,Govt. Service,Govt. Service,"26,000-40,000TK",1,Died-one of them or both,Urban,Urban,GPA 5.00,GPA 4.00 - 4.99,No,No,University Hall,6-10Hour,Yes,No,More than 80%class,Alone,Regular study during the semester,Always,No,Yes,Tution,No,Sometimes,3.50 - 3.74
24-26 years,Male,Single,Pharmacy ,Public,M.Sc/M.A.,B.A./B.Sc./Hons/Degree,Govt. Service,Housewife,41000-55000TK,1,Happily Married,Urban,Urban,GPA 5.00,GPA 5.00,Yes,No,With family,6-10Hour,Yes,Yes,More than 80%class,Alone,Regular study during the semester,Always,No,Yes,Tution,No,Never,3.75 - 4.00
21-23 years,Female,Single,Social Science ,Others,Secondary School,Primary School,Business,Housewife,"56000-60,000",1,Happily Married,Rural,Urban,Less than 3.00,Less than 3.00,No,No,With family,Less than 1 Hour,No,No,Less than 60% classes,Not applicable,Close date to exam,Never,No,No,Not Applicable,No,Never,Less than 2.50
21-23 years,Male,In a love relationship,BBA,Private,College,Secondary School,Business,Housewife,"<25,000Tk",1,Died-one of them or both,Urban,Urban,GPA 4.00 - 4.99,GPA 3.00 - 3.99,No,No,Rental,Less than 1 Hour,No,No,Less than 60% classes,Alone,Close date to exam,Never,No,No,Business,Yes,Sometimes,3.00 - 3.24
21-23 years,Male,Married,CSE,Private,B.A./B.Sc./Hons/Degree,Secondary School,Private Job,Housewife,"26,000-40,000TK",No Siblings,Happily Married,Urban,Urban,GPA 5.00,GPA 4.00 - 4.99,No,No,Rental,2-5 Hour,No,No,More than 80%class,Alone,Close date to exam,Sometimes,Yes,Yes,Others,No,Never,3.00 - 3.24
21-23 years,Female,Single,Microbiology ,Public,M.Sc/M.A.,Primary School,Govt. Service,Housewife,"26,000-40,000TK",1,Happily Married,Urban,Urban,GPA 5.00,GPA 5.00,No,No,University Hall,More than 15 Hour,Yes,Yes,More than 80%class,Group study,Regular study during the semester,Always,No,No,Not Applicable,No,Sometimes,3.75 - 4.00
24-26 years,Female,Single,bangla,Others,College,Secondary School,Business,Housewife,"26,000-40,000TK",1,Died-one of them or both,Urban,Urban,GPA 3.00 - 3.99,GPA 3.00 - 3.99,No,No,With family,Less than 1 Hour,No,No,Less than 60% classes,Not applicable,Close date to exam,Never,No,No,Not Applicable,No,Never,Less than 2.50
21-23 years,Female,In a love relationship,Cse,Private,College,Secondary School,Govt. Service,Housewife,"<25,000Tk",3 or above,Died-one of them or both,Urban,Urban,GPA 5.00,GPA 4.00 - 4.99,Yes,No,Rental,6-10Hour,No,Yes,More than 80%class,Alone,Regular study during the semester,Always,Yes,Yes,Tution,No,Never,3.50 - 3.74
24-26 years,Male,In a love relationship,EEE,Private,B.A./B.Sc./Hons/Degree,B.A./B.Sc./Hons/Degree,Govt. Service,Housewife,"56000-60,000",1,Happily Married,Urban,Urban,GPA 5.00,GPA 5.00,No,No,Rental,2-5 Hour,No,No,More than 80%class,Group study,Close date to exam,Sometimes,Yes,No,Not Applicable,No,Never,3.00 - 3.24
21-23 years,Male,In a love relationship,Social Science,Others,M.Sc/M.A.,B.A./B.Sc./Hons/Degree,Private Job,Private Job,">60,000",2,Happily Married,Rural,Country Town,GPA 3.00 - 3.99,GPA 3.00 - 3.99,No,No,With family,Less than 1 Hour,No,No,Less than 60% classes,Not applicable,Never,Never,No,No,Not Applicable,No,Never,Less than 2.50
24-26 years,Male,In a love relationship,Textile Engineering ,Private,Secondary School,Secondary School,Business,Housewife,">60,000",No Siblings,Happily Married,Urban,Urban,GPA 5.00,GPA 4.00 - 4.99,No,No,Rental,Less than 1 Hour,No,No,60%-79% classes,Group study,Close date to exam,Never,No,No,Not Applicable,Yes,Never,2.75 - 2.99
21-23 years,Female,In a love relationship,EEE,Private,Secondary School,College,Self-employed,Private Job,"26,000-40,000TK",1,Happily Married,Rural,Urban,GPA 4.00 - 4.99,GPA 4.00 - 4.99,No,No,Rental,6-10Hour,No,No,More than 80%class,Alone,Regular study during the semester,Sometimes,No,No,Not Applicable,No,Sometimes,3.25 - 3.49
24-26 years,Male,Single,BBA,Others,Secondary School,Secondary School,Self-employed,Private Job,"26,000-40,000TK",1,Happily Married,Rural,Urban,GPA 4.00 - 4.99,GPA 3.00 - 3.99,No,No,With family,Less than 1 Hour,No,No,Less than 60% classes,Alone,Close date to exam,Never,No,No,Not Applicable,No,Sometimes,Less than 2.50
24-26 years,Male,Single,Political Science ,Others,Secondary School,Primary School,Business,Housewife,"26,000-40,000TK",1,Happily Married,Urban,Urban,GPA 4.00 - 4.99,GPA 3.00 - 3.99,No,No,With family,Less than 1 Hour,No,No,Less than 60% classes,Alone,Close date to exam,Never,Yes,No,Business,Yes,Never,Less than 2.50
24-26 years,Male,In a love relationship,Law,Private,B.A./B.Sc./Hons/Degree,Primary School,Self-employed,Housewife,"26,000-40,000TK",3 or above,Happily Married,Rural,Rural,GPA 4.00 - 4.99,GPA 4.00 - 4.99,No,No,Rental,2-5 Hour,No,No,60%-79% classes,Alone,Regular study during the semester,Sometimes,No,No,Others,Yes,Sometimes,3.25 - 3.49
24-26 years,Male,In a love relationship,Mathematics ,Others,B.A./B.Sc./Hons/Degree,Secondary School,Private Job,Housewife,41000-55000TK,1,Happily Married,Urban,Urban,GPA 5.00,GPA 4.00 - 4.99,No,No,With family,Less than 1 Hour,No,No,Less than 60% classes,Alone,Close date to exam,Never,Yes,No,Not Applicable,Yes,Sometimes,2.50 - 2.74
21-23 years,Female,In a love relationship,Bangla,Others,B.A./B.Sc./Hons/Degree,Primary School,Self-employed,Housewife,"26,000-40,000TK",3 or above,Happily Married,Rural,Urban,GPA 4.00 - 4.99,GPA 3.00 - 3.99,No,No,University Hall,Less than 1 Hour,No,No,Less than 60% classes,Not applicable,Close date to exam,Never,No,No,Not Applicable,No,Never,2.50 - 2.74
21-23 years,Male,Single,Economics ,Others,Secondary School,Primary School,Business,Housewife,41000-55000TK,1,Happily Married,Urban,Urban,GPA 5.00,GPA 3.00 - 3.99,No,No,With family,Less than 1 Hour,No,No,Less than 60% classes,Alone,Close date to exam,Never,No,No,Not Applicable,No,Sometimes,2.75 - 2.99
24-26 years,Male,Married,Management ,Public,B.A./B.Sc./Hons/Degree,College,Business,Housewife,">60,000",2,Happily Married,Rural,Urban,GPA 5.00,GPA 5.00,Yes,Yes,Rental,Less than 1 Hour,No,No,More than 80%class,Group study,Close date to exam,Sometimes,Yes,Yes,Tution,Yes,Sometimes,3.00 - 3.24
21-23 years,Male,Single,BBA,Others,B.A./B.Sc./Hons/Degree,Primary School,Self-employed,Housewife,"26,000-40,000TK",3 or above,Happily Married,Rural,Urban,GPA 4.00 - 4.99,Less than 3.00,No,No,With family,Less than 1 Hour,No,No,Less than 60% classes,Alone,Never,Never,No,No,Business,No,Never,Less than 2.50
21-23 years,Male,Single,CSE,Public,College,College,Business,Housewife,41000-55000TK,1,Happily Married,Urban,Urban,GPA 5.00,GPA 4.00 - 4.99,No,No,University Hall,2-5 Hour,No,No,More than 80%class,Group study,Close date to exam,Never,Yes,Yes,Not Applicable,No,Never,3.25 - 3.49
24-26 years,Male,Single,Social Science ,Public,B.A./B.Sc./Hons/Degree,Primary School,Retired,Housewife,"26,000-40,000TK",1,Happily Married,Rural,Urban,GPA 5.00,GPA 5.00,Yes,No,University Hall,6-10Hour,No,Yes,More than 80%class,Alone,Regular study during the semester,Always,Yes,Yes,Tution,No,Never,3.50 - 3.74
24-26 years,Male,Single,EEE,Public,Primary School,Primary School,Self-employed,Housewife,"<25,000Tk",2,Happily Married,Rural,Urban,GPA 5.00,GPA 5.00,No,No,University Hall,6-10Hour,Yes,Yes,More than 80%class,Alone,Regular study during the semester,Always,Yes,Yes,Tution,No,Sometimes,3.75 - 4.00
24-26 years,Male,In a love relationship,Environmental Science ,Public,College,Primary School,Govt. Service,Housewife,"26,000-40,000TK",1,Happily Married,Rural,Urban,GPA 5.00,GPA 5.00,No,No,University Hall,11-14 Hour,Yes,Yes,More than 80%class,Alone,Regular study during the semester,Always,Yes,Yes,Tution,No,Always,3.75 - 4.00
18-20 years,Male,Single,CSE,Private,B.A./B.Sc./Hons/Degree,College,Govt. Service,Housewife,"26,000-40,000TK",2,Happily Married,Urban,Urban,GPA 5.00,GPA 4.00 - 4.99,Yes,No,Rental,2-5 Hour,No,No,More than 80%class,Alone,Close date to exam,Sometimes,Yes,No,Not Applicable,No,Sometimes,3.50 - 3.74
21-23 years,Male,In a love relationship,Edtech,Public,M.Sc/M.A.,B.A./B.Sc./Hons/Degree,Private Job,Housewife,">60,000",1,Happily Married,Urban,Urban,GPA 5.00,GPA 5.00,Yes,Yes,University Hall,2-5 Hour,No,No,More than 80%class,Group study,Close date to exam,Sometimes,Yes,No,Not Applicable,Yes,Sometimes,3.50 - 3.74
21-23 years,Male,Single,BBA,Private,B.A./B.Sc./Hons/Degree,College,Private Job,Housewife,">60,000",1,Happily Married,Urban,Urban,GPA 5.00,GPA 4.00 - 4.99,No,No,Rental,Less than 1 Hour,No,No,More than 80%class,Group study,Close date to exam,Sometimes,Yes,No,Others,Yes,Never,3.00 - 3.24
24-26 years,Male,Married,Chemistry ,Others,College,Secondary School,Self-employed,Housewife,"26,000-40,000TK",1,Happily Married,Urban,Urban,GPA 4.00 - 4.99,GPA 3.00 - 3.99,No,No,With family,Less than 1 Hour,No,No,Less than 60% classes,Alone,Close date to exam,Never,Yes,No,Business,Yes,Never,2.50 - 2.74
21-23 years,Female,Single,Social Work,Others,Secondary School,Primary School,Self-employed,Housewife,41000-55000TK,2,Happily Married,Rural,Rural,GPA 4.00 - 4.99,GPA 3.00 - 3.99,No,No,With family,2-5 Hour,No,Yes,Less than 60% classes,Alone,Regular study during the semester,Sometimes,No,No,Not Applicable,No,Never,3.00 - 3.24
24-26 years,Male,Single,Architecture ,Public,M.Sc/M.A.,College,Govt. Service,Housewife,41000-55000TK,1,Happily Married,Urban,Urban,GPA 5.00,GPA 5.00,Yes,Yes,University Hall,2-5 Hour,Yes,Yes,More than 80%class,Group study,Regular study during the semester,Sometimes,Yes,Yes,Tution,Yes,Sometimes,3.50 - 3.74
21-23 years,Male,Single,Film & Media,Public,M.Sc/M.A.,B.A./B.Sc./Hons/Degree,Govt. Service,Govt. Service,">60,000",1,Happily Married,Urban,Urban,GPA 5.00,GPA 5.00,No,No,With family,Less than 1 Hour,No,Yes,60%-79% classes,Group study,Close date to exam,Sometimes,Yes,Yes,Others,Yes,Sometimes,3.00 - 3.24
24-26 years,Male,Single,Civil Engineering ,Private,B.A./B.Sc./Hons/Degree,Secondary School,Govt. Service,Housewife,"26,000-40,000TK",1,Happily Married,Urban,Urban,GPA 5.00,GPA 4.00 - 4.99,No,No,Rental,2-5 Hour,No,No,More than 80%class,Alone,Regular study during the semester,Sometimes,No,No,Tution,No,Sometimes,3.25 - 3.49
24-26 years,Male,In a love relationship,Film and Media,Public,B.A./B.Sc./Hons/Degree,College,Business,Housewife,">60,000",2,Happily Married,Urban,Urban,GPA 5.00,GPA 5.00,Yes,No,With family,Less than 1 Hour,No,No,Less than 60% classes,Alone,Close date to exam,Never,Yes,Yes,Business,Yes,Sometimes,2.50 - 2.74
21-23 years,Female,Single,CSE,Private,Primary School,Primary School,Business,Housewife,"26,000-40,000TK",3 or above,Happily Married,Rural,Urban,GPA 5.00,GPA 4.00 - 4.99,No,No,Rental,2-5 Hour,No,No,60%-79% classes,Not applicable,Close date to exam,Sometimes,No,No,Not Applicable,No,Sometimes,2.50 - 2.74
21-23 years,Male,Single,Political science ,Others,Primary School,Primary School,Private Job,Housewife,"<25,000Tk",3 or above,Happily Married,Rural,Rural,Less than 3.00,Less than 3.00,No,No,With family,Less than 1 Hour,No,No,Less than 60% classes,Not applicable,Close date to exam,Never,No,No,Not Applicable,No,Never,Less than 2.50
18-20 years,Female,Single,Fisheries ,Public,B.A./B.Sc./Hons/Degree,College,Private Job,Housewife,41000-55000TK,1,Happily Married,Rural,Urban,GPA 5.00,GPA 5.00,No,No,University Hall,2-5 Hour,No,No,More than 80%class,Alone,Regular study during the semester,Always,No,No,Not Applicable,No,Never,3.00 - 3.24
18-20 years,Male,In a love relationship,Fisheries ,Public,M.Sc/M.A.,B.A./B.Sc./Hons/Degree,Govt. Service,Housewife,">60,000",No Siblings,Happily Married,Urban,Urban,GPA 5.00,GPA 5.00,Yes,No,University Hall,Less than 1 Hour,No,No,More than 80%class,Group study,Close date to exam,Never,Yes,No,Not Applicable,No,Sometimes,3.00 - 3.24
18-20 years,Male,Single,Fisheries ,Public,B.A./B.Sc./Hons/Degree,Secondary School,Private Job,Housewife,41000-55000TK,1,Happily Married,Rural,Urban,GPA 5.00,GPA 4.00 - 4.99,No,No,University Hall,2-5 Hour,No,No,More than 80%class,Group study,Regular study during the semester,Always,Yes,No,Not Applicable,No,Sometimes,3.25 - 3.49
18-20 years,Female,Single,Fisheries ,Public,College,College,Business,Housewife,"26,000-40,000TK",2,Happily Married,Rural,Rural,GPA 5.00,GPA 4.00 - 4.99,No,No,University Hall,6-10Hour,No,Yes,More than 80%class,Alone,Regular study during the semester,Always,No,No,Not Applicable,No,Never,3.50 - 3.74
21-23 years,Male,In a love relationship,Microbiology ,Public,B.A./B.Sc./Hons/Degree,Secondary School,Private Job,Housewife,"26,000-40,000TK",1,Happily Married,Urban,Urban,GPA 5.00,GPA 5.00,Yes,No,University Hall,6-10Hour,Yes,No,More than 80%class,Group study,Regular study during the semester,Always,No,No,Tution,No,Sometimes,3.25 - 3.49
18-20 years,Male,Single,Microbiology ,Public,B.A./B.Sc./Hons/Degree,College,Govt. Service,Govt. Service,">60,000",2,Happily Married,Urban,Urban,GPA 5.00,GPA 4.00 - 4.99,No,No,University Hall,2-5 Hour,No,No,More than 80%class,Group study,Close date to exam,Sometimes,No,No,Not Applicable,Yes,Sometimes,2.75 - 2.99
18-20 years,Male,In a love relationship,Microbiology ,Public,College,B.A./B.Sc./Hons/Degree,Business,Housewife,41000-55000TK,1,Happily Married,Rural,Urban,GPA 5.00,GPA 5.00,No,No,University Hall,6-10Hour,Yes,Yes,More than 80%class,Alone,Regular study during the semester,Always,Yes,No,Tution,No,Never,3.25 - 3.49
21-23 years,Male,Single,Civil Engineering ,Public,B.A./B.Sc./Hons/Degree,College,Govt. Service,Housewife,41000-55000TK,2,Happily Married,Rural,Urban,GPA 5.00,GPA 5.00,Yes,No,University Hall,2-5 Hour,No,No,More than 80%class,Group study,Close date to exam,Sometimes,Yes,No,Tution,Yes,Sometimes,3.25 - 3.49
21-23 years,Male,Single,Hostory,Public,Secondary School,Primary School,Private Job,Housewife,"<25,000Tk",3 or above,Happily Married,Rural,Rural,GPA 5.00,GPA 5.00,No,No,University Hall,11-14 Hour,No,Yes,60%-79% classes,Alone,Close date to exam,Sometimes,No,No,Not Applicable,No,Sometimes,3.25 - 3.49
21-23 years,Female,Single,BBA,Private,College,Primary School,Business,Housewife,">60,000",1,Happily Married,Country Town,Country Town,GPA 4.00 - 4.99,GPA 4.00 - 4.99,No,No,With family,2-5 Hour,No,No,60%-79% classes,Alone,Close date to exam,Sometimes,No,No,Not Applicable,No,Never,2.75 - 2.99
21-23 years,Female,Single,History,Others,College,Primary School,Business,Housewife,"<25,000Tk",3 or above,Happily Married,Rural,Rural,GPA 4.00 - 4.99,GPA 3.00 - 3.99,No,No,With family,Less than 1 Hour,No,No,Less than 60% classes,Not applicable,Close date to exam,Never,No,No,Not Applicable,No,Sometimes,2.50 - 2.74
21-23 years,Female,In a love relationship,Math,Others,B.A./B.Sc./Hons/Degree,College,Private Job,Housewife,41000-55000TK,1,Happily Married,Rural,Urban,GPA 5.00,GPA 4.00 - 4.99,No,No,Rental,2-5 Hour,No,Yes,Less than 60% classes,Not applicable,Close date to exam,Sometimes,No,No,Not Applicable,No,Sometimes,2.75 - 2.99
21-23 years,Male,In a love relationship,CSE,Private,College,College,Business,Govt. Service,"56000-60,000",1,Happily Married,Rural,Urban,GPA 5.00,GPA 4.00 - 4.99,No,No,Rental,Less than 1 Hour,No,No,Less than 60% classes,Alone,Close date to exam,Never,No,No,Not Applicable,Yes,Sometimes,2.50 - 2.74
24-26 years,Male,In a love relationship,Statistics ,Others,B.A./B.Sc./Hons/Degree,College,Private Job,Govt. Service,">60,000",1,Happily Married,Country Town,Country Town,GPA 5.00,GPA 4.00 - 4.99,No,No,University Hall,2-5 Hour,No,No,Less than 60% classes,Group study,Close date to exam,Sometimes,No,No,Tution,Yes,Always,2.50 - 2.74
21-23 years,Female,In a love relationship,Botany ,Others,B.A./B.Sc./Hons/Degree,B.A./B.Sc./Hons/Degree,Govt. Service,Housewife,41000-55000TK,1,Happily Married,Rural,Urban,GPA 4.00 - 4.99,GPA 4.00 - 4.99,No,No,University Hall,Less than 1 Hour,No,Yes,Less than 60% classes,Alone,Close date to exam,Never,No,No,Not Applicable,No,Sometimes,Less than 2.50
21-23 years,Female,In a love relationship,Bangla ,Others,Secondary School,Primary School,Business,Private Job,"26,000-40,000TK",1,Died-one of them or both,Rural,Rural,GPA 4.00 - 4.99,GPA 5.00,No,No,With family,Less than 1 Hour,No,Yes,Less than 60% classes,Alone,Close date to exam,Never,No,No,Tution,No,Sometimes,2.50 - 2.74
21-23 years,Female,Single,AIS,Public,B.A./B.Sc./Hons/Degree,Secondary School,Private Job,Housewife,41000-55000TK,1,Happily Married,Rural,Country Town,GPA 5.00,GPA 5.00,Yes,No,University Hall,11-14 Hour,No,Yes,More than 80%class,Group study,Regular study during the semester,Always,Yes,Yes,Not Applicable,No,Sometimes,3.75 - 4.00
24-26 years,Male,Married,BBA,Others,Primary School,Primary School,Self-employed,Housewife,"56000-60,000",1,Happily Married,Rural,Rural,GPA 3.00 - 3.99,Less than 3.00,No,No,With family,Less than 1 Hour,No,No,Less than 60% classes,Not applicable,Close date to exam,Never,No,No,Not Applicable,Yes,Sometimes,Less than 2.50
24-26 years,Female,Married,Social work,Others,Secondary School,Primary School,Business,Govt. Service,41000-55000TK,1,Happily Married,Rural,Rural,GPA 3.00 - 3.99,Less than 3.00,No,No,With family,Less than 1 Hour,No,No,Less than 60% classes,Not applicable,Close date to exam,Never,No,No,Not Applicable,No,Sometimes,Less than 2.50
21-23 years,Female,Single,CSE,Private,Primary School,Primary School,Business,Housewife,">60,000",1,Happily Married,Urban,Urban,GPA 5.00,GPA 4.00 - 4.99,Yes,No,With family,11-14 Hour,No,Yes,More than 80%class,Alone,Regular study during the semester,Always,No,Yes,Not Applicable,No,Never,3.75 - 4.00
24-26 years,Male,In a love relationship,Textile,Private,Primary School,Primary School,Business,Housewife,">60,000",1,Happily Married,Urban,Urban,GPA 4.00 - 4.99,GPA 4.00 - 4.99,No,No,Rental,Less than 1 Hour,No,No,Less than 60% classes,Alone,Close date to exam,Never,No,No,Tution,No,Sometimes,2.75 - 2.99
24-26 years,Male,Single,English,Private,College,Secondary School,Govt. Service,Housewife,"<25,000Tk",1,Happily Married,Rural,Rural,GPA 5.00,GPA 4.00 - 4.99,No,No,Rental,6-10Hour,No,Yes,More than 80%class,Alone,Regular study during the semester,Always,No,No,Tution,No,Sometimes,3.50 - 3.74
21-23 years,Male,Single,English,Public,College,Secondary School,Govt. Service,Housewife,"26,000-40,000TK",2,Happily Married,Rural,Rural,GPA 5.00,GPA 4.00 - 4.99,No,No,Rental,Less than 1 Hour,No,No,Less than 60% classes,Group study,Close date to exam,Never,No,No,Tution,No,Sometimes,Less than 2.50
